Route_Number,Route_Name,Ridership_Total,Week_Range,Route_Date,ObjectId
FerryWH,Woodside to Halifax,1151,2018.05.20 - 2018.05.26,5/24/2018 10:00:00 AM,84
FerryDH,Dartmouth to Halifax,1553,2018.05.20 - 2018.05.26,5/25/2018 10:00:00 AM,85
FerryHD,Halifax to Dartmouth,1970,2018.05.20 - 2018.05.26,5/25/2018 10:00:00 AM,86
FerryHW,Halifax to Woodside,1064,2018.05.20 - 2018.05.26,5/25/2018 10:00:00 AM,87
FerryWH,Woodside to Halifax,1067,2018.05.20 - 2018.05.26,5/25/2018 10:00:00 AM,88
FerryDH,Dartmouth to Halifax,1743,2018.05.20 - 2018.05.26,5/26/2018 10:00:00 AM,89
FerryHD,Halifax to Dartmouth,1535,2018.05.20 - 2018.05.26,5/26/2018 10:00:00 AM,90
FerryHW,Halifax to Woodside,0,2018.05.20 - 2018.05.26,5/26/2018 10:00:00 AM,91
FerryWH,Woodside to Halifax,0,2018.05.20 - 2018.05.26,5/26/2018 10:00:00 AM,92
FerryDH,Dartmouth to Halifax,1228,2018.05.27 - 2018.06.02,5/27/2018 10:00:00 AM,93
FerryHD,Halifax to Dartmouth,1184,2018.05.27 - 2018.06.02,5/27/2018 10:00:00 AM,94
FerryHW,Halifax to Woodside,0,2018.05.27 - 2018.06.02,5/27/2018 10:00:00 AM,95
FerryWH,Woodside to Halifax,0,2018.05.27 - 2018.06.02,5/27/2018 10:00:00 AM,96
FerryDH,Dartmouth to Halifax,1779,2018.05.27 - 2018.06.02,5/28/2018 10:00:00 AM,97
FerryHD,Halifax to Dartmouth,1589,2018.05.27 - 2018.06.02,5/28/2018 10:00:00 AM,98
FerryHW,Halifax to Woodside,1092,2018.05.27 - 2018.06.02,5/28/2018 10:00:00 AM,99
FerryWH,Woodside to Halifax,1088,2018.05.27 - 2018.06.02,5/28/2018 10:00:00 AM,100
FerryDH,Dartmouth to Halifax,1754,2018.05.27 - 2018.06.02,5/29/2018 10:00:00 AM,101
FerryHD,Halifax to Dartmouth,1747,2018.05.27 - 2018.06.02,5/29/2018 10:00:00 AM,102
FerryHW,Halifax to Woodside,1160,2018.05.27 - 2018.06.02,5/29/2018 10:00:00 AM,103
FerryWH,Woodside to Halifax,1099,2018.05.27 - 2018.06.02,5/29/2018 10:00:00 AM,104
FerryDH,Dartmouth to Halifax,1700,2018.05.27 - 2018.06.02,5/30/2018 10:00:00 AM,105
FerryHD,Halifax to Dartmouth,2000,2018.05.27 - 2018.06.02,5/30/2018 10:00:00 AM,106
FerryHW,Halifax to Woodside,1242,2018.05.27 - 2018.06.02,5/30/2018 10:00:00 AM,107
FerryWH,Woodside to Halifax,1166,2018.05.27 - 2018.06.02,5/30/2018 10:00:00 AM,108
FerryDH,Dartmouth to Halifax,2418,2018.05.27 - 2018.06.02,5/31/2018 10:00:00 AM,109
FerryHD,Halifax to Dartmouth,2648,2018.05.27 - 2018.06.02,5/31/2018 10:00:00 AM,110
FerryHW,Halifax to Woodside,1232,2018.05.27 - 2018.06.02,5/31/2018 10:00:00 AM,111
FerryWH,Woodside to Halifax,1161,2018.05.27 - 2018.06.02,5/31/2018 10:00:00 AM,112
FerryDH,Dartmouth to Halifax,3042,2018.05.27 - 2018.06.02,6/1/2018 10:00:00 AM,113
FerryHD,Halifax to Dartmouth,3033,2018.05.27 - 2018.06.02,6/1/2018 10:00:00 AM,114
FerryHW,Halifax to Woodside,1010,2017.01.01 - 2017.01.07,1/3/2017 10:00:00 AM,115
FerryHW,Halifax to Woodside,1079,2018.05.27 - 2018.06.02,6/1/2018 10:00:00 AM,116
FerryWH,Woodside to Halifax,1086,2018.05.27 - 2018.06.02,6/1/2018 10:00:00 AM,117
FerryDH,Dartmouth to Halifax,1387,2018.05.27 - 2018.06.02,6/2/2018 10:00:00 AM,118
FerryHD,Halifax to Dartmouth,1365,2018.05.27 - 2018.06.02,6/2/2018 10:00:00 AM,119
FerryHW,Halifax to Woodside,0,2018.05.27 - 2018.06.02,6/2/2018 10:00:00 AM,120
FerryWH,Woodside to Halifax,0,2018.05.27 - 2018.06.02,6/2/2018 10:00:00 AM,121
FerryDH,Dartmouth to Halifax,1416,2018.06.03 - 2018.06.09,6/3/2018 10:00:00 AM,122
FerryHD,Halifax to Dartmouth,1297,2018.06.03 - 2018.06.09,6/3/2018 10:00:00 AM,123
FerryHW,Halifax to Woodside,0,2018.06.03 - 2018.06.09,6/3/2018 10:00:00 AM,124
FerryWH,Woodside to Halifax,0,2018.06.03 - 2018.06.09,6/3/2018 10:00:00 AM,125
FerryDH,Dartmouth to Halifax,1608,2018.06.03 - 2018.06.09,6/4/2018 10:00:00 AM,126
FerryHD,Halifax to Dartmouth,1646,2018.06.03 - 2018.06.09,6/4/2018 10:00:00 AM,127
FerryHW,Halifax to Woodside,1142,2018.06.03 - 2018.06.09,6/4/2018 10:00:00 AM,128
FerryWH,Woodside to Halifax,1083,2018.06.03 - 2018.06.09,6/4/2018 10:00:00 AM,129
FerryDH,Dartmouth to Halifax,1123,2018.06.03 - 2018.06.09,6/5/2018 10:00:00 AM,130
FerryHD,Halifax to Dartmouth,1180,2018.06.03 - 2018.06.09,6/5/2018 10:00:00 AM,131
FerryHW,Halifax to Woodside,1009,2018.06.03 - 2018.06.09,6/5/2018 10:00:00 AM,132
FerryWH,Woodside to Halifax,968,2018.06.03 - 2018.06.09,6/5/2018 10:00:00 AM,133
FerryDH,Dartmouth to Halifax,1549,2018.06.03 - 2018.06.09,6/6/2018 10:00:00 AM,134
FerryHD,Halifax to Dartmouth,1545,2018.06.03 - 2018.06.09,6/6/2018 10:00:00 AM,135
FerryHW,Halifax to Woodside,1156,2018.06.03 - 2018.06.09,6/6/2018 10:00:00 AM,136
FerryWH,Woodside to Halifax,1048,2018.06.03 - 2018.06.09,6/6/2018 10:00:00 AM,137
FerryDH,Dartmouth to Halifax,1915,2018.06.03 - 2018.06.09,6/7/2018 10:00:00 AM,138
FerryHD,Halifax to Dartmouth,1995,2018.06.03 - 2018.06.09,6/7/2018 10:00:00 AM,139
FerryHW,Halifax to Woodside,1138,2018.06.03 - 2018.06.09,6/7/2018 10:00:00 AM,140
FerryWH,Woodside to Halifax,1145,2018.06.03 - 2018.06.09,6/7/2018 10:00:00 AM,141
FerryDH,Dartmouth to Halifax,1992,2018.06.03 - 2018.06.09,6/8/2018 10:00:00 AM,142
FerryHD,Halifax to Dartmouth,2053,2018.06.03 - 2018.06.09,6/8/2018 10:00:00 AM,143
FerryHW,Halifax to Woodside,992,2018.06.03 - 2018.06.09,6/8/2018 10:00:00 AM,144
FerryWH,Woodside to Halifax,1042,2018.06.03 - 2018.06.09,6/8/2018 10:00:00 AM,145
FerryDH,Dartmouth to Halifax,2082,2018.06.03 - 2018.06.09,6/9/2018 10:00:00 AM,146
FerryHD,Halifax to Dartmouth,1973,2018.06.03 - 2018.06.09,6/9/2018 10:00:00 AM,147
FerryHW,Halifax to Woodside,0,2018.06.03 - 2018.06.09,6/9/2018 10:00:00 AM,148
FerryWH,Woodside to Halifax,0,2018.06.03 - 2018.06.09,6/9/2018 10:00:00 AM,149
FerryDH,Dartmouth to Halifax,1393,2018.06.10 - 2018.06.16,6/10/2018 10:00:00 AM,150
FerryHD,Halifax to Dartmouth,1362,2018.06.10 - 2018.06.16,6/10/2018 10:00:00 AM,151
FerryHW,Halifax to Woodside,0,2018.06.10 - 2018.06.16,6/10/2018 10:00:00 AM,152
FerryWH,Woodside to Halifax,0,2018.06.10 - 2018.06.16,6/10/2018 10:00:00 AM,153
FerryDH,Dartmouth to Halifax,1501,2018.06.10 - 2018.06.16,6/11/2018 10:00:00 AM,154
FerryHD,Halifax to Dartmouth,1590,2018.06.10 - 2018.06.16,6/11/2018 10:00:00 AM,155
FerryHW,Halifax to Woodside,1152,2018.06.10 - 2018.06.16,6/11/2018 10:00:00 AM,156
FerryWH,Woodside to Halifax,1076,2018.06.10 - 2018.06.16,6/11/2018 10:00:00 AM,157
FerryDH,Dartmouth to Halifax,2029,2018.06.10 - 2018.06.16,6/12/2018 10:00:00 AM,158
FerryHD,Halifax to Dartmouth,2081,2018.06.10 - 2018.06.16,6/12/2018 10:00:00 AM,159
FerryHW,Halifax to Woodside,1199,2018.06.10 - 2018.06.16,6/12/2018 10:00:00 AM,160
